"id","model","field_id/name","field_id/ttype"
"","","unsubscription_date","datetime"
"","","website_message_ids","one2many"
"","","write_date","datetime"
"","","write_uid","many2one"
"account.model_account_payment","account.payment","amount","monetary"
"","","check_amount_in_words","char"
"","","check_manual_sequencing","boolean"
"","","check_number","integer"
"","","communication","char"
"","","company_id","many2one"
"","","create_date","datetime"
"","","create_uid","many2one"
"","","currency_id","many2one"
"","","destination_account_id","many2one"
"","","destination_journal_id","many2one"
"","","display_name","char"
"","","has_invoices","boolean"
"","","hide_payment_method","boolean"
"","","id","integer"
"","","invoice_ids","many2many"
"","","journal_id","many2one"
"","","__last_update","datetime"
"","","message_channel_ids","many2many"
"","","message_follower_ids","one2many"
"","","message_ids","one2many"
"","","message_is_follower","boolean"
"","","message_last_post","datetime"
"","","message_needaction","boolean"
"","","message_needaction_counter","integer"
"","","message_partner_ids","many2many"
"","","message_unread","boolean"
"","","message_unread_counter","integer"
"","","move_line_ids","one2many"
"","","move_name","char"
"","","move_reconciled","boolean"
"","","name","char"
"","","partner_id","many2one"
"","","partner_type","selection"
"","","payment_date","date"
"","","payment_difference","monetary"
"","","payment_difference_handling","selection"
"","","payment_method_code","char"
"","","payment_method_id","many2one"
"","","payment_reference","char"
"","","payment_token_id","many2one"
"","","payment_transaction_id","many2one"
"","","payment_type","selection"
"","","state","selection"
"","","website_message_ids","one2many"
"","","write_date","datetime"
"","","writeoff_account_id","many2one"
"","","writeoff_label","char"
"","","write_uid","many2one"
"product.model_product_product","product.product","active","boolean"
"","","activity_date_deadline","date"
"","","activity_ids","one2many"
"","","activity_state","selection"
"","","activity_summary","char"
"","","activity_type_id","many2one"
"","","activity_user_id","many2one"
"","","attribute_line_ids","one2many"
"","","attribute_value_ids","many2many"
"","","barcode","char"
"","","categ_id","many2one"
"","","code","char"
"","","color","integer"
"","","company_id","many2one"
"","","cost_method","char"
"","","create_date","datetime"
"","","create_uid","many2one"
"","","currency_id","many2one"
"","","default_code","char"
"","","description","text"
"","","description_picking","text"
"","","description_pickingin","text"
"","","description_pickingout","text"
"","","description_purchase","text"
"","","description_sale","text"
"","","display_name","char"
"","","expense_policy","selection"
"","","id","integer"
"","","image","binary"
"","","image_medium","binary"
"","","image_small","binary"
"","","image_variant","binary"
"","","incoming_qty","float"
"","","invoice_policy","selection"
"","","item_ids","one2many"
"","","__last_update","datetime"
"","","list_price","float"
"","","location_id","many2one"
"","","lst_price","float"
"","","message_channel_ids","many2many"
"","","message_follower_ids","one2many"
"","","message_ids","one2many"
"","","message_is_follower","boolean"
"","","message_last_post","datetime"
"","","message_needaction","boolean"
"","","message_needaction_counter","integer"
"","","message_partner_ids","many2many"
"","","message_unread","boolean"
"","","message_unread_counter","integer"
"","","name","char"
"","","nbr_reordering_rules","integer"
"","","orderpoint_ids","one2many"
"","","outgoing_qty","float"
"","","packaging_ids","one2many"
"","","partner_ref","char"
"","","price","float"
"","","price_extra","float"
"","","pricelist_id","many2one"
"","","pricelist_item_ids","many2many"
"","","product_tmpl_id","many2one"
"","","product_variant_count","integer"
"","","product_variant_id","many2one"
"","","product_variant_ids","one2many"
"","","project_id","many2one"
"","","property_account_creditor_price_difference","many2one"
"","","property_account_expense_id","many2one"
"","","property_account_income_id","many2one"
"","","property_cost_method","selection"
"","","property_stock_account_input","many2one"
"","","property_stock_account_output","many2one"
"","","property_stock_inventory","many2one"
"","","property_stock_production","many2one"
"","","property_valuation","selection"
"","","purchase_count","integer"
"","","purchase_line_warn","selection"
"","","purchase_line_warn_msg","text"
"","","purchase_method","selection"
"","","purchase_ok","boolean"
"","","qty_available","float"
"","","rental","boolean"
"","","reordering_max_qty","float"
"","","reordering_min_qty","float"
"","","responsible_id","many2one"
"","","route_from_categ_ids","many2many"
"","","route_ids","many2many"
"","","sale_delay","float"
"","","sale_line_warn","selection"
"","","sale_line_warn_msg","text"
"","","sale_ok","boolean"
"","","sales_count","integer"
"","","seller_ids","one2many"
"","","sequence","integer"
"","","service_policy","selection"
"","","service_tracking","selection"
"","","service_type","selection"
"","","standard_price","float"
"","","stock_move_ids","one2many"
"","","stock_quant_ids","one2many"
"","","stock_value","float"
"","","supplier_taxes_id","many2many"
"","","taxes_id","many2many"
"","","tracking","selection"
"","","type","selection"
"","","uom_id","many2one"
"","","uom_po_id","many2one"
"","","valuation","char"
"","","variant_seller_ids","one2many"
"","","virtual_available","float"
"","","volume","float"
"","","warehouse_id","many2one"
"","","website_message_ids","one2many"
"","","weight","float"
"","","write_date","datetime"
"","","write_uid","many2one"
"account.model_product_template","product.template","active","boolean"
"","","activity_date_deadline","date"
"","","activity_ids","one2many"
"","","activity_state","selection"
"","","activity_summary","char"
"","","activity_type_id","many2one"
"","","activity_user_id","many2one"
"","","attribute_line_ids","one2many"
"","","barcode","char"
"","","categ_id","many2one"
"","","color","integer"
"","","company_id","many2one"
"","","cost_method","char"
"","","create_date","datetime"
"","","create_uid","many2one"
"","","currency_id","many2one"
"","","default_code","char"
"","","description","text"
"","","description_picking","text"
"","","description_pickingin","text"
"","","description_pickingout","text"
"","","description_purchase","text"
"","","description_sale","text"
"","","display_name","char"
"","","expense_policy","selection"
"","","id","integer"
"","","image","binary"
"","","image_medium","binary"
"","","image_small","binary"
"","","incoming_qty","float"
"","","invoice_policy","selection"
"","","item_ids","one2many"
"","","__last_update","datetime"
"","","list_price","float"
"","","location_id","many2one"
"","","lst_price","float"
"","","message_channel_ids","many2many"
"","","message_follower_ids","one2many"
"","","message_ids","one2many"
"","","message_is_follower","boolean"
"","","message_last_post","datetime"
"","","message_needaction","boolean"
"","","message_needaction_counter","integer"
"","","message_partner_ids","many2many"
"","","message_unread","boolean"
"","","message_unread_counter","integer"
"","","name","char"
"","","nbr_reordering_rules","integer"
"","","outgoing_qty","float"
"","","packaging_ids","one2many"
"","","price","float"
"","","pricelist_id","many2one"
"","","product_variant_count","integer"
"","","product_variant_id","many2one"
"","","product_variant_ids","one2many"
"","","project_id","many2one"
"","","property_account_creditor_price_difference","many2one"
"","","property_account_expense_id","many2one"
"","","property_account_income_id","many2one"
"","","property_cost_method","selection"
"","","property_stock_account_input","many2one"
"","","property_stock_account_output","many2one"
"","","property_stock_inventory","many2one"
"","","property_stock_production","many2one"
"","","property_valuation","selection"
"","","purchase_count","integer"
"","","purchase_line_warn","selection"
"","","purchase_line_warn_msg","text"
"","","purchase_method","selection"
"","","purchase_ok","boolean"
"","","qty_available","float"
"","","rental","boolean"
"","","reordering_max_qty","float"
"","","reordering_min_qty","float"
"","","responsible_id","many2one"
"","","route_from_categ_ids","many2many"
"","","route_ids","many2many"
"","","sale_delay","float"
"","","sale_line_warn","selection"
"","","sale_line_warn_msg","text"
"","","sale_ok","boolean"
"","","sales_count","integer"
"","","seller_ids","one2many"
"","","sequence","integer"
"","","service_policy","selection"
"","","service_tracking","selection"
"","","service_type","selection"
"","","standard_price","float"
"","","supplier_taxes_id","many2many"
"","","taxes_id","many2many"
"","","tracking","selection"
"","","type","selection"
"","","uom_id","many2one"
"","","uom_po_id","many2one"
"","","valuation","char"
"","","variant_seller_ids","one2many"
